success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0       1068       7130      8.722     39.358         40
      1          0               0       1306      14476     15.767     49.186         50
      1          0               0        316       1429      0.355      9.889         10
      1          0               0       1215       3540      3.337     19.893         20
      1          0               0       1013       8288      5.228     29.552         30
      1          0               0       1122       8074      9.340     38.626         40
      1          0               0       1261      14884     15.684     47.895         50
      1          0               0        497       1589      0.549      9.913         10
      1          0               0        535       2716      1.484     19.815         20
      1          0               0       1180       6785      6.038     29.713         30
      1          0               0       1412      10916     11.356     39.661         40
      1          0               0       1212       8990     14.418     49.567         50
      1          0               0        646       1648      0.712      9.946         10
      1          0               0        655       4202      1.843     19.614         20
      1          0               0        810       6555      4.158     29.664         30
      1          0               0        554       5529      4.509     39.403         40
      1          0               0       1243       9646     14.845     49.429         50
      1          0               0        905       4307      1.003      9.916         10
      1          0               0       1022       7741      2.858     19.723         20
      1          0               0       1047       9339      5.456     29.372         30
      1          0               0       1111      10410      9.033     39.452         40
      1          0               0       1237      11686     14.828     49.270         50
      1          0               0        748       4042      0.842      9.773         10
      1          0               0        683       4495      1.899     19.827         20
      1          0               0       1076       8061      5.508     29.671         30
      1          0               0        924       8337      7.628     38.810         40
      1          0               0        943       9312     11.420     48.780         50
      1          0               0        638       1884      0.706      9.920         10
      1          0               0        457       2294      1.277     19.718         20
      1          0               0        415       4637      2.159     29.386         30
      1          0               0        947      11601      7.746     39.333         40
      1          0               0        852      10325     10.448     48.427         50
      1          0               0        723       2232      0.800      9.916         10
      1          0               0        605       3682      1.704     19.663         20
      1          0               0        760       4048      3.907     29.650         30
      1          0               0        633       6279      5.315     38.471         40
      1          0               0        594       8389      7.435     48.067         50
      1          0               0        467       2463      0.525      9.861         10
      1          0               0        621       4652      1.750     19.655         20
      1          0               0       1047       7701      5.403     29.587         30
      1          0               0        992      10273      8.156     39.210         40
      1          0               0        592       8024      7.242     48.777         50
      1          0               0        195        973      0.220      9.836         10
      1          0               0        677       4065      1.887     19.709         20
      1          0               0        830       5953      4.280     29.566         30
      1          0               0        601       5887      5.002     38.720         40
      1          0               0       1235      11499     15.424     47.568         50
      1          0               0        381       1090      0.422      9.929         10
      1          0               0        872       3472      2.404     19.904         20
      1          0               0       1212       5924      6.147     29.842         30
      1          0               0       1378       9758     11.477     38.538         40
      1          0               0       1121      13444     13.780     48.386         50
