success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0       1045      24138     32.783     77.315         80
      1          0               0       1009      27389     40.890     84.831         90
      1          0               0        921      26974     46.081     94.276        100
      1          0               0        881       3382      1.021      9.859         10
      1          0               0        847       5627      2.508     19.602         20
      1          0               0       1294      11936      7.111     29.630         30
      1          0               0       1261      12617     10.734     39.408         40
      1          0               0       1176      17108     15.408     48.827         50
      1          0               0       1256      17856     23.179     56.778         60
      1          0               0        966      16443     24.291     65.572         70
      1          0               0       1003      17624     33.098     74.424         80
      1          0               0       1426      31486     57.201     84.353         90
      1          0               0       1121      25163     56.589     93.688        100
      1          0               0        542       1185      0.669      9.956         10
      1          0               0        605       3342      1.785     19.808         20
      1          0               0       1153       8032      6.403     29.730         30
      1          0               0       1274       9548     11.450     38.530         40
      1          0               0       1236      11658     16.974     46.877         50
      1          0               0       1239      11665     22.537     56.706         60
      1          0               0       1113      11624     26.337     66.878         70
      1          0               0       1286      22593     39.811     76.426         80
      1          0               0       1096      24092     41.469     86.262         90
      1          0               0       1112      20240     53.409     94.537        100
      1          0               0        971       2437      1.103      9.939         10
      1          0               0       1514       9429      4.290     19.890         20
      1          0               0       1238      11728      6.678     28.985         30
      1          0               0       1015       8552      8.606     38.874         40
      1          0               0       1260      11699     16.177     47.679         50
      1          0               0       1212      16071     21.958     56.114         60
      1          0               0       1112      12880     26.058     65.873         70
      1          0               0       1090      11651     33.091     75.438         80
      1          0               0       1474      22999     54.596     84.512         90
      1          0               0       1622      23093     76.080     91.508        100
      1          0               0        710       1973      0.810      9.939         10
      1          0               0        943       5375      2.715     19.785         20
      1          0               0       1277       9208      6.711     29.700         30
      1          0               0       1627       8638     13.383     39.714         40
      1          0               0       1266      10631     15.459     49.486         50
      1          0               0       1081      12035     18.235     59.207         60
      1          0               0       1491      20726     32.902     69.038         70
      1          0               0       1484      18629     42.182     78.137         80
      1          0               0       1335      18758     47.847     87.939         90
      1          0               0       1515      24847     66.295     97.249        100
      1          0               0        752       3817      0.867      9.797         10
      1          0               0        759       5284      2.176     19.755         20
      1          0               0        681       6188      3.765     28.683         30
      1          0               0        888       6916      7.896     38.644         40
      1          0               0        784       7652     10.341     47.662         50
      1          0               0       1085      12471     19.956     56.489         60
      1          0               0       1008      12821     24.761     65.356         70
      1          0               0        852      12819     27.031     74.025         80
      1          0               0        647       9968     25.445     82.906         90
      1          0               0        791       9288     38.538     93.362        100
      1          0               0        609       2085      0.699      9.819         10
      1          0               0        887       5747      2.537     19.752         20
      1          0               0        893       5608      4.712     29.563         30
