success  collision  collision_obst   makespan   flowtime    runtime mean_groups     number
      1          0               0       1894      32023     44.837     87.291         90
      1          0               0       1694      22248     39.831     96.215        100
      1          0               0        483       1708      0.722      9.770         10
      1          0               0        868       5424      2.728     19.589         20
      1          0               0       1247      11823      6.252     29.527         30
      1          0               0       1176       9248      8.188     38.693         40
      1          0               0       1011      13364      9.215     48.510         50
      1          0               0       1379      10224     16.720     58.126         60
      1          0               0       1353      16210     19.191     66.852         70
      1          0               0       1562      27904     29.778     74.504         80
      1          0               0       1573      25077     37.499     82.279         90
      1          0               0       1483      35156     39.194     92.917        100
      1          0               0        377       1680      0.524      9.849         10
      1          0               0        765       5833      2.411     19.418         20
      1          0               0        798       6686      3.986     28.999         30
      1          0               0        733       8656      5.298     37.980         40
      1          0               0        769       8156      7.383     47.538         50
      1          0               0        931      11490     11.624     56.305         60
      1          0               0       1127      13616     15.112     67.654         70
      1          0               0       1446      16799     25.002     76.282         80
      1          0               0        831      14192     15.442     83.428         90
      1          0               0       1463      21937     35.723     94.243        100
      1          0               0       1105       4536      1.117      9.789         10
      1          0               0       1428       8658      2.781     19.750         20
      1          0               0       1307      10090      3.981     29.241         30
      1          0               0       1685      18323      7.797     38.180         40
      1          0               0       1703      22013      9.663     47.800         50
      1          0               0       1948      18229     14.895     57.394         60
      1          0               0       1502      20510     14.736     67.560         70
      1          0               0       1433      17271     15.003     77.068         80
      1          0               0       1386      26775     19.295     83.570         90
      1          0               0       1389      27750     20.612     92.597        100
      1          0               0        500       2121      0.459      9.846         10
      1          0               0       1054       6595      2.067     19.291         20
      1          0               0        579       3894      1.594     28.677         30
      1          0               0        684       5516      2.521     38.085         40
      1          0               0        815       6654      3.864     48.264         50
      1          0               0       1078       8771      6.402     58.285         60
      1          0               0       1279      11245      9.037     66.783         70
      1          0               0       1420      19454     13.096     76.223         80
      1          0               0       1177      14927     12.427     86.195         90
      1          0               0       1633      19212     19.139     95.328        100
      1          0               0       1130       4129      2.444      9.919         10
      1          0               0       1314       5808      5.409     19.705         20
      1          0               0       1477      13201     10.026     28.819         30
      1          0               0       1456      17887     10.150     38.367         40
      1          0               0       1444      20198      9.449     47.686         50
      1          0               0       1404      22610     10.879     56.091         60
      1          0               0        921      17521      7.514     66.814         70
      1          0               0       1715      21399     17.391     77.548         80
      1          0               0       1503      20886     16.821     86.011         90
      1          0               0       1436      25907     18.958     95.391        100
      1          0               0        585       1833      0.503      9.918         10
      1          0               0       1116       4154      1.998     19.427         20
      1          0               0        814       5553      2.255     28.926         30
      1          0               0       1264      10939      5.273     37.835         40
      1          0               0       1146       9693      5.793     48.630         50
      1          0               0       1239      13644      7.986     58.674         60
      1          0               0       1575      17103     12.394     68.681         70
      1          0               0       1572      23700     15.938     77.001         80
      1          0               0       1368      21022     13.509     86.931         90
      1          0               0       1405      25959     17.760     96.375        100
      1          0               0        862       1964      0.790      9.666         10
      1          0               0       1080       3827      1.999     18.725         20
      1          0               0        719       4147      1.958     28.832         30
      1          0               0        946       8241      3.616     38.683         40
      1          0               0        675       6993      3.056     48.024         50
      1          0               0        941      11352      5.833     56.784         60
      1          0               0        898       9589      6.289     67.424         70
      1          0               0       1025      10860      9.200     76.188         80
      1          0               0       1031      16116     10.467     85.142         90
      1          0               0       1776      19004     23.276     95.369        100
      1          0               0        527       2597      0.460      9.480         10
      1          0               0        887       3411      1.656     19.307         20
      1          0               0       1335      10019      3.962     29.471         30
      1          0               0        637       5075      2.149     38.992         40
      1          0               0       1535      17145      7.916     48.710         50
      1          0               0       1341      11457      8.314     58.023         60
      1          0               0        744      10453      5.246     66.344         70
      1          0               0       1080      11684      9.820     76.189         80
      1          0               0        593      10531      5.526     84.032         90
      1          0               0        545      12083      6.082     91.284        100
      1          0               0        317        991      0.274      9.833         10
      1          0               0        775       4452      1.370     19.603         20
      1          0               0       1356      10995      4.442     27.314         30
      1          0               0       1468      12964      5.800     39.221         40
      1          0               0       1571      18453      8.832     46.774         50
      1          0               0       1645      24982     11.997     55.730         60
      1          0               0       1773      30179     18.345     64.316         70
      1          0               0       1408      23861     17.631     72.124         80
      1          0               0       1968      28733     28.182     82.280         90
      1          0               0       1514      29457     25.263     91.930        100
      1          0               0        499       1558      0.441      9.854         10
      1          0               0       1104       3772      1.986     19.849         20
      1          0               0        985       7083      2.743     29.184         30
      1          0               0       1227       8358      4.991     38.779         40
      1          0               0        875       8807      4.443     48.397         50
      1          0               0       1278      14844      8.970     58.304         60
      1          0               0       1112      18949      9.169     66.620         70
      1          0               0       1367      27777     14.791     76.350         80
