number               collision            collision_obst       flowtime             makespan             run_time             success              sum_of_dists         max_dist            
10                   0                    0                    234                  49                   0.0                  100                  234.0                49.0                
10                   0                    0                    258                  43                   0.0                  100                  258.0                43.0                
10                   0                    0                    391                  92                   0.001                100                  390.0                92.0                
10                   0                    0                    232                  51                   0.0                  100                  232.0                51.0                
10                   0                    0                    189                  47                   0.0                  100                  189.0                47.0                
10                   0                    0                    434                  108                  0.001                100                  434.0                108.0               
10                   0                    0                    93                   15                   0.0                  100                  93.0                 15.0                
10                   0                    0                    480                  100                  0.001                100                  480.0                100.0               
10                   0                    0                    215                  41                   0.0                  100                  214.0                41.0                
10                   0                    0                    307                  48                   0.0                  100                  306.0                48.0                
10                   0                    0                    595                  100                  0.002                100                  590.0                100.0               
10                   0                    0                    239                  66                   0.0                  100                  239.0                66.0                
10                   0                    0                    219                  40                   0.0                  100                  219.0                40.0                
10                   0                    0                    267                  50                   0.0                  100                  267.0                50.0                
10                   0                    0                    256                  53                   0.0                  100                  249.0                53.0                
10                   0                    0                    70                   12                   0.0                  100                  70.0                 12.0                
10                   0                    0                    346                  74                   0.001                100                  346.0                74.0                
10                   0                    0                    170                  32                   0.0                  100                  170.0                32.0                
10                   0                    0                    518                  75                   0.001                100                  518.0                75.0                
10                   0                    0                    391                  69                   0.0                  100                  391.0                69.0                
10                   0                    0                    515                  80                   0.001                100                  515.0                80.0                
10                   0                    0                    224                  44                   0.0                  100                  224.0                44.0                
10                   0                    0                    371                  77                   0.0                  100                  371.0                77.0                
10                   0                    0                    270                  50                   0.0                  100                  270.0                50.0                
10                   0                    0                    690                  107                  0.001                100                  689.0                106.0               
10                   0                    0                    92                   17                   0.0                  100                  92.0                 17.0                
10                   0                    0                    500                  92                   0.001                100                  500.0                92.0                
10                   0                    0                    483                  74                   0.001                100                  483.0                74.0                
10                   0                    0                    307                  51                   0.0                  100                  307.0                51.0                
10                   0                    0                    214                  61                   0.0                  100                  214.0                61.0                
10                   0                    0                    540                  81                   0.001                100                  539.0                81.0                
10                   0                    0                    304                  49                   0.0                  100                  304.0                49.0                
10                   0                    0                    314                  69                   0.0                  100                  314.0                69.0                
