success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     number
      1          0               0        389      17685      2.492          83.003         90
      1          0               0        388      19301      2.760          92.433        100
      1          0               0        288       1666      0.229           9.337         10
      1          0               0        321       3672      0.482          18.564         20
      1          0               0        321       5387      0.706          27.854         30
      1          0               0        321       7441      0.956          37.826         40
      1          0               0        378       9221      1.349          47.717         50
      1          0               0        378      11089      1.659          56.534         60
      1          0               0        378      13320      1.915          65.561         70
      1          0               0        378      15118      2.160          74.497         80
      1          0               0        385      17251      2.514          84.039         90
      1          0               0        386      19197      2.796          92.003        100
      1          0               0        293       1459      0.227           9.969         10
      1          0               0        294       3201      0.451          19.827         20
      1          0               0        346       4996      0.753          28.882         30
      1          0               0        346       6441      1.028          38.442         40
      1          0               0        354       8465      1.271          48.031         50
      1          0               0        355      10173      1.506          57.608         60
      1          0               0        355      11521      1.784          67.096         70
      1          0               0        355      13029      2.045          75.685         80
      1          0               0        355      15257      2.417          84.994         90
      1          0               0        374      17395      2.714          94.316        100
      1          0               0        280       1494      0.217           9.957         10
      1          0               0        300       3469      0.448          19.867         20
      1          0               0        346       5155      0.755          29.659         30
      1          0               0        346       6759      0.988          39.205         40
      1          0               0        345       8891      1.224          48.597         50
      1          0               0        347      10959      1.485          57.749         60
      1          0               0        355      13738      1.822          66.346         70
      1          0               0        355      15075      2.061          75.180         80
      1          0               0        355      16885      2.309          83.780         90
      1          0               0        355      18772      2.511          93.397        100
      1          0               0        365       1968      0.280           9.978         10
      1          0               0        365       3521      0.531          19.918         20
      1          0               0        365       5480      0.811          29.597         30
      1          0               0        365       7492      1.058          39.170         40
      1          0               0        365       9311      1.345          48.532         50
      1          0               0        365      10621      1.536          58.189         60
      1          0               0        364      12344      1.755          67.750         70
      1          0               0        364      14793      2.050          76.758         80
      1          0               0        364      16719      2.309          85.560         90
      1          0               0        364      18311      2.531          94.566        100
      1          0               0        351       2323      0.273           9.977         10
      1          0               0        351       4201      0.511          19.880         20
      1          0               0        356       6206      0.759          29.410         30
      1          0               0        356       8212      1.007          39.079         40
      1          0               0        356      10899      1.273          48.781         50
      1          0               0        356      12833      1.536          57.461         60
      1          0               0        356      15230      1.767          66.860         70
      1          0               0        356      17672      2.025          75.188         80
      1          0               0        356      19869      2.289          84.194         90
      1          0               0        356      22102      2.556          91.680        100
      1          0               0        243       1803      0.192           9.951         10
      1          0               0        324       3509      0.474          19.778         20
      1          0               0        324       5113      0.713          29.654         30
      1          0               0        324       6754      0.915          39.543         40
      1          0               0        330       8574      1.152          48.900         50
      1          0               0        329      10177      1.373          58.292         60
      1          0               0        329      12194      1.614          67.815         70
      1          0               0        361      14546      2.020          76.064         80
      1          0               0        361      16404      2.272          84.726         90
      1          0               0        360      18105      2.528          94.153        100
      1          0               0        360       2210      0.285           9.839         10
      1          0               0        360       3663      0.522          19.819         20
      1          0               0        360       5811      0.775          29.681         30
      1          0               0        360       7529      1.032          39.036         40
      1          0               0        360       9203      1.281          48.547         50
      1          0               0        360      11158      1.521          57.664         60
      1          0               0        359      12445      1.777          66.797         70
      1          0               0        360      14401      2.015          76.125         80
      1          0               0        366      16602      2.377          85.385         90
      1          0               0        366      18687      2.598          93.948        100
      1          0               0        355       2444      0.289           9.823         10
      1          0               0        355       4566      0.531          19.332         20
      1          0               0        355       6005      0.800          29.177         30
      1          0               0        356       7897      1.018          38.910         40
      1          0               0        356      10027      1.278          48.306         50
      1          0               0        356      11876      1.565          57.744         60
      1          0               0        356      13882      1.818          66.694         70
      1          0               0        355      15305      2.045          76.490         80
      1          0               0        355      17083      2.301          85.986         90
      1          0               0        355      19132      2.537          95.107        100
      1          0               0        237       1229      0.184           9.987         10
      1          0               0        334       2706      0.484          19.344         20
      1          0               0        384       5538      0.818          29.115         30
      1          0               0        383       6984      1.073          38.966         40
      1          0               0        383       8276      1.342          48.311         50
      1          0               0        383       9808      1.624          57.843         60
      1          0               0        383      10812      1.886          67.258         70
      1          0               0        383      12994      2.215          75.381         80
      1          0               0        388      15044      2.447          84.518         90
      1          0               0        388      17407      2.716          93.314        100
      1          0               0        343       1970      0.266           9.752         10
      1          0               0        343       3802      0.497          19.621         20
      1          0               0        344       6064      0.736          29.349         30
      1          0               0        378       8064      1.079          39.114         40
      1          0               0        378      10147      1.324          48.823         50
      1          0               0        378      11812      1.579          57.574         60
      1          0               0        378      13506      1.844          66.892         70
      1          0               0        378      16284      2.116          75.302         80
      1          0               0        378      17984      2.390          84.090         90
      1          0               0        378      19967      2.671          92.222        100
      1          0               0        361       1743      0.279           9.945         10
      1          0               0        361       3186      0.523          19.681         20
      1          0               0        361       5554      0.776          29.457         30
      1          0               0        362       7120      1.038          39.094         40
      1          0               0        363       9341      1.296          47.242         50
      1          0               0        364      10845      1.556          56.489         60
      1          0               0        364      12446      1.810          65.876         70
      1          0               0        363      14831      2.038          74.700         80
      1          0               0        369      16752      2.355          83.431         90
      1          0               0        369      19005      2.628          92.220        100
      1          0               0        312       2105      0.254           9.894         10
      1          0               0        311       3895      0.484          19.723         20
      1          0               0        333       5527      0.736          29.523         30
      1          0               0        333       6924      0.958          39.243         40
      1          0               0        355       8868      1.250          48.994         50
      1          0               0        355      10979      1.509          58.208         60
      1          0               0        355      12614      1.737          67.814         70
      1          0               0        361      15022      2.022          76.161         80
      1          0               0        361      17357      2.305          84.861         90
      1          0               0        361      18910      2.527          93.765        100
      1          0               0        356       2329      0.281           9.798         10
      1          0               0        356       3989      0.524          19.514         20
      1          0               0        357       5778      0.761          29.451         30
