number               collision            collision_obst       flowtime             makespan             run_time             success              sum_of_dists         max_dist            
10                   0                    0                    133                  18                   0.0                  100                  133.0                18.0                
10                   0                    0                    99                   22                   0.0                  100                  99.0                 22.0                
10                   0                    0                    103                  18                   0.0                  100                  103.0                18.0                
10                   0                    0                    135                  22                   0.0                  100                  133.0                22.0                
10                   0                    0                    116                  22                   0.0                  100                  115.0                22.0                
10                   0                    0                    87                   13                   0.0                  100                  87.0                 13.0                
10                   0                    0                    145                  20                   0.0                  100                  145.0                20.0                
10                   0                    0                    132                  26                   0.0                  100                  121.0                26.0                
10                   0                    0                    101                  15                   0.0                  100                  101.0                15.0                
10                   0                    0                    100                  13                   0.0                  100                  99.0                 13.0                
10                   0                    0                    86                   16                   0.0                  100                  86.0                 16.0                
10                   0                    0                    106                  17                   0.0                  100                  106.0                17.0                
10                   0                    0                    85                   17                   0.0                  100                  85.0                 17.0                
10                   0                    0                    109                  16                   0.0                  100                  109.0                16.0                
10                   0                    0                    144                  23                   0.0                  100                  144.0                23.0                
10                   0                    0                    119                  17                   0.0                  100                  119.0                17.0                
10                   0                    0                    100                  19                   0.0                  100                  100.0                19.0                
10                   0                    0                    113                  21                   0.0                  100                  113.0                21.0                
10                   0                    0                    117                  21                   0.0                  100                  117.0                21.0                
10                   0                    0                    102                  18                   0.0                  100                  98.0                 18.0                
10                   0                    0                    94                   14                   0.0                  100                  93.0                 14.0                
10                   0                    0                    79                   14                   0.0                  100                  79.0                 14.0                
10                   0                    0                    80                   17                   0.0                  100                  80.0                 17.0                
10                   0                    0                    143                  19                   0.0                  100                  143.0                19.0                
10                   0                    0                    94                   18                   0.0                  100                  94.0                 18.0                
10                   0                    0                    98                   18                   0.0                  100                  98.0                 18.0                
10                   0                    0                    80                   12                   0.0                  100                  80.0                 12.0                
10                   0                    0                    99                   18                   0.0                  100                  92.0                 18.0                
10                   0                    0                    94                   19                   0.0                  100                  94.0                 19.0                
10                   0                    0                    130                  20                   0.0                  100                  117.0                20.0                
10                   0                    0                    91                   15                   0.0                  100                  83.0                 15.0                
10                   0                    0                    96                   18                   0.0                  100                  96.0                 18.0                
10                   0                    0                    84                   14                   0.0                  100                  84.0                 14.0                
10                   0                    0                    65                   15                   0.0                  100                  64.0                 15.0                
10                   0                    0                    117                  18                   0.0                  100                  113.0                18.0                
10                   0                    0                    119                  16                   0.0                  100                  119.0                16.0                
10                   0                    0                    68                   12                   0.0                  100                  68.0                 12.0                
10                   0                    0                    99                   18                   0.0                  100                  99.0                 18.0                
10                   0                    0                    97                   15                   0.0                  100                  97.0                 15.0                
10                   0                    0                    90                   19                   0.0                  100                  90.0                 19.0                
10                   0                    0                    126                  19                   0.0                  100                  126.0                19.0                
10                   0                    0                    133                  18                   0.0                  100                  130.0                18.0                
10                   0                    0                    119                  19                   0.0                  100                  119.0                19.0                
10                   0                    0                    100                  17                   0.0                  100                  100.0                17.0                
10                   0                    0                    97                   16                   0.0                  100                  94.0                 16.0                
10                   0                    0                    83                   16                   0.0                  100                  83.0                 16.0                
10                   0                    0                    126                  22                   0.0                  100                  126.0                22.0                
10                   0                    0                    88                   15                   0.0                  100                  87.0                 15.0                
10                   0                    0                    90                   15                   0.0                  100                  90.0                 15.0                
10                   0                    0                    121                  16                   0.0                  100                  117.0                16.0                
10                   0                    0                    80                   14                   0.0                  100                  80.0                 14.0                
10                   0                    0                    85                   16                   0.0                  100                  85.0                 16.0                
10                   0                    0                    128                  22                   0.0                  100                  121.0                22.0                
10                   0                    0                    128                  25                   0.0                  100                  120.0                25.0                
10                   0                    0                    67                   10                   0.0                  100                  67.0                 10.0                
10                   0                    0                    84                   17                   0.0                  100                  84.0                 17.0                
10                   0                    0                    111                  27                   0.0                  100                  110.0                27.0                
10                   0                    0                    86                   15                   0.0                  100                  86.0                 15.0                
10                   0                    0                    98                   17                   0.0                  100                  97.0                 17.0                
10                   0                    0                    82                   15                   0.0                  100                  82.0                 15.0                
10                   0                    0                    132                  18                   0.0                  100                  127.0                18.0                
10                   0                    0                    86                   17                   0.0                  100                  86.0                 17.0                
10                   0                    0                    85                   17                   0.0                  100                  85.0                 17.0                
10                   0                    0                    77                   15                   0.0                  100                  77.0                 15.0                
10                   0                    0                    94                   19                   0.0                  100                  94.0                 19.0                
10                   0                    0                    84                   13                   0.0                  100                  84.0                 13.0                
10                   0                    0                    80                   14                   0.0                  100                  80.0                 14.0                
10                   0                    0                    106                  21                   0.0                  100                  97.0                 21.0                
10                   0                    0                    98                   16                   0.0                  100                  98.0                 16.0                
10                   0                    0                    76                   16                   0.0                  100                  76.0                 16.0                
10                   0                    0                    81                   13                   0.0                  100                  81.0                 13.0                
10                   0                    0                    95                   12                   0.0                  100                  95.0                 12.0                
10                   0                    0                    94                   14                   0.0                  100                  94.0                 14.0                
10                   0                    0                    80                   14                   0.0                  100                  80.0                 14.0                
10                   0                    0                    95                   23                   0.0                  100                  77.0                 23.0                
10                   0                    0                    120                  19                   0.0                  100                  109.0                19.0                
10                   0                    0                    125                  21                   0.0                  100                  125.0                21.0                
10                   0                    0                    101                  20                   0.0                  100                  101.0                20.0                
10                   0                    0                    87                   16                   0.0                  100                  87.0                 16.0                
10                   0                    0                    93                   13                   0.0                  100                  93.0                 13.0                
10                   0                    0                    118                  21                   0.0                  100                  115.0                21.0                
10                   0                    0                    87                   15                   0.0                  100                  87.0                 15.0                
10                   0                    0                    111                  17                   0.0                  100                  111.0                17.0                
10                   0                    0                    144                  25                   0.0                  100                  144.0                25.0                
10                   0                    0                    82                   16                   0.0                  100                  82.0                 16.0                
10                   0                    0                    105                  18                   0.0                  100                  104.0                18.0                
10                   0                    0                    151                  20                   0.0                  100                  151.0                20.0                
10                   0                    0                    101                  19                   0.0                  100                  96.0                 19.0                
10                   0                    0                    135                  19                   0.0                  100                  135.0                19.0                
10                   0                    0                    124                  19                   0.0                  100                  124.0                19.0                
10                   0                    0                    119                  23                   0.0                  100                  119.0                23.0                
10                   0                    0                    99                   17                   0.0                  100                  99.0                 17.0                
10                   0                    0                    116                  19                   0.0                  100                  116.0                19.0                
10                   0                    0                    129                  19                   0.0                  100                  129.0                19.0                
10                   0                    0                    89                   14                   0.0                  100                  89.0                 14.0                
10                   0                    0                    91                   13                   0.0                  100                  91.0                 13.0                
10                   0                    0                    136                  17                   0.0                  100                  136.0                17.0                
10                   0                    0                    111                  17                   0.0                  100                  111.0                17.0                
10                   0                    0                    123                  24                   0.0                  100                  114.0                24.0                
10                   0                    0                    101                  20                   0.0                  100                  94.0                 20.0                
10                   0                    0                    99                   19                   0.0                  100                  99.0                 19.0                
10                   0                    0                    92                   14                   0.0                  100                  92.0                 14.0                
10                   0                    0                    112                  19                   0.0                  100                  111.0                19.0                
10                   0                    0                    129                  21                   0.0                  100                  129.0                21.0                
