number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    132                  21                   0.0                  100                  129.0                20.0                
10                   0                    0                    202                  28                   0.0                  100                  200.0                28.0                
10                   0                    0                    128                  28                   0.0                  100                  120.0                28.0                
10                   0                    0                    236                  31                   0.0                  100                  233.0                31.0                
10                   0                    0                    113                  21                   0.0                  100                  113.0                21.0                
10                   0                    0                    117                  16                   0.0                  100                  114.0                16.0                
10                   0                    0                    142                  21                   0.0                  100                  142.0                21.0                
10                   0                    0                    151                  22                   0.0                  100                  151.0                22.0                
10                   0                    0                    135                  22                   0.0                  100                  135.0                22.0                
10                   0                    0                    151                  30                   0.0                  100                  145.0                30.0                
10                   0                    0                    102                  17                   0.0                  100                  102.0                17.0                
10                   0                    0                    156                  27                   0.0                  100                  156.0                27.0                
10                   0                    0                    88                   17                   0.0                  100                  88.0                 17.0                
10                   0                    0                    143                  25                   0.0                  100                  130.0                25.0                
10                   0                    0                    179                  24                   0.0                  100                  179.0                24.0                
10                   0                    0                    198                  29                   0.0                  100                  196.0                29.0                
10                   0                    0                    161                  25                   0.0                  100                  152.0                25.0                
10                   0                    0                    128                  26                   0.0                  100                  128.0                26.0                
10                   0                    0                    154                  29                   0.0                  100                  154.0                29.0                
10                   0                    0                    114                  16                   0.0                  100                  114.0                16.0                
10                   0                    0                    99                   15                   0.0                  100                  99.0                 15.0                
10                   0                    0                    124                  19                   0.0                  100                  124.0                19.0                
10                   0                    0                    137                  19                   0.0                  100                  137.0                19.0                
10                   0                    0                    172                  25                   0.0                  100                  172.0                25.0                
10                   0                    0                    123                  21                   0.0                  100                  122.0                21.0                
10                   0                    0                    145                  21                   0.0                  100                  145.0                21.0                
10                   0                    0                    98                   19                   0.0                  100                  98.0                 19.0                
10                   0                    0                    126                  24                   0.0                  100                  126.0                24.0                
10                   0                    0                    135                  27                   0.0                  100                  135.0                27.0                
10                   0                    0                    130                  27                   0.0                  100                  129.0                27.0                
10                   0                    0                    93                   13                   0.0                  100                  93.0                 13.0                
10                   0                    0                    115                  18                   0.0                  100                  115.0                18.0                
10                   0                    0                    131                  23                   0.0                  100                  131.0                23.0                
10                   0                    0                    150                  19                   0.0                  100                  150.0                19.0                
10                   0                    0                    105                  20                   0.0                  100                  105.0                20.0                
10                   0                    0                    101                  16                   0.0                  100                  94.0                 16.0                
10                   0                    0                    128                  31                   0.0                  100                  128.0                31.0                
10                   0                    0                    74                   18                   0.0                  100                  73.0                 17.0                
10                   0                    0                    198                  29                   0.0                  100                  198.0                29.0                
10                   0                    0                    193                  25                   0.0                  100                  179.0                25.0                
10                   0                    0                    119                  23                   0.0                  100                  119.0                23.0                
10                   0                    0                    116                  18                   0.0                  100                  112.0                18.0                
10                   0                    0                    144                  21                   0.0                  100                  144.0                21.0                
10                   0                    0                    125                  30                   0.0                  100                  125.0                30.0                
10                   0                    0                    130                  24                   0.0                  100                  130.0                24.0                
10                   0                    0                    132                  27                   0.0                  100                  123.0                27.0                
10                   0                    0                    123                  29                   0.0                  100                  123.0                29.0                
10                   0                    0                    103                  21                   0.0                  100                  99.0                 21.0                
10                   0                    0                    115                  17                   0.0                  100                  115.0                17.0                
10                   0                    0                    123                  22                   0.0                  100                  123.0                22.0                
10                   0                    0                    106                  15                   0.0                  100                  106.0                15.0                
10                   0                    0                    91                   18                   0.0                  100                  91.0                 18.0                
10                   0                    0                    143                  30                   0.0                  100                  143.0                30.0                
10                   0                    0                    180                  32                   0.0                  100                  177.0                32.0                
10                   0                    0                    119                  21                   0.0                  100                  119.0                21.0                
10                   0                    0                    110                  13                   0.0                  100                  110.0                13.0                
10                   0                    0                    151                  22                   0.0                  100                  151.0                22.0                
10                   0                    0                    173                  26                   0.0                  100                  173.0                26.0                
10                   0                    0                    166                  28                   0.0                  100                  156.0                28.0                
10                   0                    0                    172                  27                   0.0                  100                  172.0                27.0                
10                   0                    0                    99                   19                   0.0                  100                  97.0                 19.0                
10                   0                    0                    126                  22                   0.0                  100                  126.0                22.0                
10                   0                    0                    193                  34                   0.0                  100                  174.0                34.0                
10                   0                    0                    169                  26                   0.0                  100                  161.0                26.0                
10                   0                    0                    132                  18                   0.0                  100                  132.0                18.0                
10                   0                    0                    152                  26                   0.0                  100                  152.0                26.0                
10                   0                    0                    87                   21                   0.0                  100                  87.0                 21.0                
10                   0                    0                    83                   18                   0.0                  100                  83.0                 18.0                
10                   0                    0                    158                  27                   0.0                  100                  140.0                27.0                
10                   0                    0                    101                  22                   0.0                  100                  101.0                22.0                
10                   0                    0                    241                  30                   0.0                  100                  241.0                30.0                
10                   0                    0                    136                  23                   0.0                  100                  132.0                23.0                
10                   0                    0                    150                  31                   0.0                  100                  150.0                31.0                
10                   0                    0                    140                  20                   0.0                  100                  140.0                20.0                
10                   0                    0                    105                  24                   0.0                  100                  105.0                24.0                
10                   0                    0                    194                  29                   0.0                  100                  173.0                29.0                
10                   0                    0                    113                  21                   0.0                  100                  113.0                21.0                
10                   0                    0                    133                  26                   0.0                  100                  123.0                26.0                
10                   0                    0                    105                  23                   0.0                  100                  105.0                23.0                
10                   0                    0                    151                  24                   0.0                  100                  145.0                24.0                
10                   0                    0                    94                   21                   0.0                  100                  94.0                 21.0                
10                   0                    0                    166                  27                   0.0                  100                  166.0                27.0                
10                   0                    0                    131                  28                   0.0                  100                  120.0                28.0                
10                   0                    0                    140                  21                   0.0                  100                  139.0                20.0                
10                   0                    0                    166                  24                   0.0                  100                  166.0                24.0                
10                   0                    0                    87                   18                   0.0                  100                  87.0                 18.0                
10                   0                    0                    101                  17                   0.0                  100                  100.0                17.0                
10                   0                    0                    123                  17                   0.0                  100                  123.0                17.0                
10                   0                    0                    116                  23                   0.0                  100                  116.0                23.0                
10                   0                    0                    126                  22                   0.0                  100                  126.0                22.0                
10                   0                    0                    170                  23                   0.0                  100                  170.0                23.0                
10                   0                    0                    187                  30                   0.0                  100                  181.0                30.0                
10                   0                    0                    124                  26                   0.0                  100                  124.0                26.0                
10                   0                    0                    136                  26                   0.0                  100                  136.0                26.0                
10                   0                    0                    88                   17                   0.0                  100                  88.0                 17.0                
10                   0                    0                    106                  21                   0.0                  100                  106.0                21.0                
10                   0                    0                    91                   18                   0.0                  100                  91.0                 18.0                
10                   0                    0                    119                  22                   0.0                  100                  118.0                22.0                
10                   0                    0                    129                  28                   0.0                  100                  129.0                28.0                
10                   0                    0                    133                  22                   0.0                  100                  133.0                22.0                
10                   0                    0                    150                  24                   0.0                  100                  150.0                24.0                
10                   0                    0                    123                  22                   0.0                  100                  118.0                22.0                
10                   0                    0                    90                   21                   0.0                  100                  90.0                 21.0                
10                   0                    0                    149                  20                   0.0                  100                  149.0                20.0                
10                   0                    0                    123                  19                   0.0                  100                  123.0                19.0                
10                   0                    0                    137                  22                   0.0                  100                  136.0                22.0                
10                   0                    0                    129                  19                   0.0                  100                  129.0                19.0                
