number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    618                  139                  0.002                100                  618.0                139.0               
10                   0                    0                    1177                 189                  0.005                100                  1177.0               189.0               
10                   0                    0                    604                  112                  0.002                100                  604.0                112.0               
10                   0                    0                    511                  133                  0.003                100                  511.0                133.0               
10                   0                    0                    714                  113                  0.002                100                  714.0                113.0               
10                   0                    0                    1037                 170                  0.003                100                  1037.0               170.0               
10                   0                    0                    780                  194                  0.004                100                  780.0                194.0               
10                   0                    0                    1203                 172                  0.003                100                  1203.0               172.0               
10                   0                    0                    887                  143                  0.002                100                  887.0                143.0               
10                   0                    0                    829                  163                  0.003                100                  829.0                163.0               
10                   0                    0                    822                  124                  0.002                100                  822.0                124.0               
10                   0                    0                    699                  140                  0.002                100                  699.0                140.0               
10                   0                    0                    713                  121                  0.002                100                  713.0                121.0               
10                   0                    0                    1735                 264                  0.004                100                  1721.0               264.0               
10                   0                    0                    758                  127                  0.003                100                  758.0                127.0               
10                   0                    0                    650                  99                   0.002                100                  650.0                99.0                
10                   0                    0                    1264                 199                  0.003                100                  1264.0               199.0               
10                   0                    0                    1034                 204                  0.003                100                  1034.0               204.0               
10                   0                    0                    1150                 177                  0.003                100                  1150.0               177.0               
10                   0                    0                    1231                 207                  0.003                100                  1231.0               207.0               
10                   0                    0                    1298                 179                  0.002                100                  1298.0               179.0               
10                   0                    0                    808                  192                  0.003                100                  808.0                192.0               
10                   0                    0                    741                  105                  0.002                100                  741.0                105.0               
10                   0                    0                    1132                 207                  0.005                100                  1132.0               207.0               
10                   0                    0                    1036                 174                  0.003                100                  1036.0               174.0               
10                   0                    0                    1552                 295                  0.003                100                  1552.0               295.0               
10                   0                    0                    877                  146                  0.002                100                  877.0                146.0               
10                   0                    0                    1426                 220                  0.003                100                  1426.0               220.0               
10                   0                    0                    1056                 197                  0.003                100                  1056.0               197.0               
10                   0                    0                    1398                 194                  0.003                100                  1398.0               194.0               
10                   0                    0                    1683                 276                  0.003                100                  1683.0               276.0               
10                   0                    0                    702                  133                  0.002                100                  702.0                133.0               
10                   0                    0                    1002                 180                  0.003                100                  1002.0               180.0               
10                   0                    0                    1289                 232                  0.004                100                  1289.0               232.0               
10                   0                    0                    877                  153                  0.002                100                  877.0                153.0               
10                   0                    0                    879                  174                  0.003                100                  879.0                174.0               
10                   0                    0                    968                  158                  0.003                100                  968.0                158.0               
10                   0                    0                    1495                 213                  0.003                100                  1495.0               213.0               
10                   0                    0                    1260                 191                  0.003                100                  1260.0               191.0               
10                   0                    0                    574                  125                  0.002                100                  574.0                125.0               
10                   0                    0                    732                  170                  0.003                100                  732.0                170.0               
10                   0                    0                    1113                 178                  0.003                100                  1113.0               178.0               
10                   0                    0                    845                  121                  0.002                100                  845.0                121.0               
10                   0                    0                    667                  134                  0.002                100                  667.0                134.0               
10                   0                    0                    894                  195                  0.003                100                  894.0                195.0               
10                   0                    0                    957                  143                  0.002                100                  957.0                143.0               
10                   0                    0                    554                  163                  0.002                100                  554.0                163.0               
10                   0                    0                    855                  122                  0.002                100                  770.0                122.0               
10                   0                    0                    914                  186                  0.003                100                  914.0                186.0               
10                   0                    0                    1180                 160                  0.003                100                  1180.0               160.0               
10                   0                    0                    1399                 223                  0.003                100                  1399.0               223.0               
10                   0                    0                    854                  164                  0.002                100                  854.0                164.0               
10                   0                    0                    866                  149                  0.003                100                  866.0                149.0               
10                   0                    0                    1246                 199                  0.002                100                  1245.0               199.0               
10                   0                    0                    916                  130                  0.002                100                  916.0                130.0               
10                   0                    0                    849                  160                  0.003                100                  849.0                160.0               
10                   0                    0                    1391                 212                  0.003                100                  1391.0               212.0               
10                   0                    0                    1035                 202                  0.003                100                  1035.0               202.0               
