number               collision            collision_obst       flowtime             makespan             runtime              success              sum_of_dists         max_dist            
10                   0                    0                    1387                 247                  0.001                100                  1387.0               247.0               
10                   0                    0                    700                  144                  0.001                100                  700.0                144.0               
10                   0                    0                    727                  214                  0.001                100                  727.0                214.0               
10                   0                    0                    588                  131                  0.001                100                  588.0                131.0               
10                   0                    0                    451                  116                  0.001                100                  451.0                116.0               
10                   0                    0                    881                  212                  0.001                100                  881.0                212.0               
10                   0                    0                    544                  114                  0.001                100                  544.0                114.0               
10                   0                    0                    689                  156                  0.001                100                  689.0                156.0               
10                   0                    0                    809                  203                  0.001                100                  809.0                203.0               
10                   0                    0                    880                  125                  0.001                100                  880.0                125.0               
10                   0                    0                    559                  107                  0.001                100                  559.0                107.0               
10                   0                    0                    1145                 198                  0.002                100                  1111.0               198.0               
10                   0                    0                    585                  94                   0.001                100                  585.0                94.0                
10                   0                    0                    1019                 155                  0.001                100                  1019.0               155.0               
10                   0                    0                    549                  107                  0.001                100                  549.0                107.0               
10                   0                    0                    632                  127                  0.001                100                  632.0                127.0               
10                   0                    0                    756                  128                  0.001                100                  756.0                128.0               
10                   0                    0                    655                  127                  0.001                100                  655.0                127.0               
10                   0                    0                    443                  71                   0.001                100                  443.0                71.0                
10                   0                    0                    1133                 235                  0.002                100                  1133.0               235.0               
10                   0                    0                    777                  150                  0.001                100                  777.0                150.0               
10                   0                    0                    757                  125                  0.001                100                  757.0                125.0               
10                   0                    0                    563                  153                  0.002                100                  563.0                153.0               
10                   0                    0                    981                  162                  0.001                100                  981.0                162.0               
10                   0                    0                    807                  200                  0.001                100                  789.0                200.0               
10                   0                    0                    509                  112                  0.001                100                  509.0                112.0               
10                   0                    0                    1214                 182                  0.001                100                  1214.0               182.0               
10                   0                    0                    835                  152                  0.003                100                  835.0                152.0               
10                   0                    0                    596                  114                  0.001                100                  596.0                114.0               
10                   0                    0                    455                  84                   0.001                100                  455.0                84.0                
10                   0                    0                    988                  219                  0.001                100                  988.0                219.0               
10                   0                    0                    722                  147                  0.001                100                  722.0                147.0               
10                   0                    0                    1004                 206                  0.002                100                  1004.0               206.0               
10                   0                    0                    514                  85                   0.001                100                  514.0                85.0                
10                   0                    0                    771                  155                  0.001                100                  771.0                155.0               
10                   0                    0                    728                  119                  0.001                100                  728.0                119.0               
10                   0                    0                    572                  135                  0.001                100                  572.0                135.0               
10                   0                    0                    1007                 155                  0.001                100                  1006.0               155.0               
10                   0                    0                    462                  107                  0.001                100                  462.0                107.0               
10                   0                    0                    737                  116                  0.001                100                  737.0                116.0               
10                   0                    0                    465                  104                  0.001                100                  465.0                104.0               
10                   0                    0                    854                  131                  0.001                100                  854.0                131.0               
10                   0                    0                    925                  170                  0.001                100                  925.0                170.0               
10                   0                    0                    1105                 230                  0.002                100                  1105.0               230.0               
10                   0                    0                    696                  116                  0.001                100                  696.0                116.0               
10                   0                    0                    487                  105                  0.001                100                  487.0                105.0               
10                   0                    0                    716                  110                  0.001                100                  716.0                110.0               
10                   0                    0                    1549                 257                  0.001                100                  1549.0               257.0               
10                   0                    0                    607                  91                   0.001                100                  607.0                91.0                
10                   0                    0                    477                  98                   0.001                100                  477.0                98.0                
10                   0                    0                    566                  146                  0.001                100                  503.0                146.0               
10                   0                    0                    1119                 171                  0.001                100                  1119.0               171.0               
10                   0                    0                    691                  134                  0.001                100                  660.0                134.0               
10                   0                    0                    919                  260                  0.002                100                  919.0                260.0               
10                   0                    0                    512                  113                  0.001                100                  512.0                113.0               
10                   0                    0                    894                  146                  0.001                100                  894.0                146.0               
10                   0                    0                    579                  85                   0.001                100                  579.0                85.0                
10                   0                    0                    1419                 219                  0.001                100                  1419.0               219.0               
10                   0                    0                    491                  127                  0.001                100                  491.0                127.0               
10                   0                    0                    599                  136                  0.001                100                  599.0                136.0               
10                   0                    0                    677                  138                  0.001                100                  677.0                138.0               
10                   0                    0                    641                  116                  0.001                100                  630.0                116.0               
10                   0                    0                    512                  91                   0.001                100                  512.0                91.0                
10                   0                    0                    772                  161                  0.001                100                  772.0                161.0               
10                   0                    0                    1134                 197                  0.001                100                  1134.0               197.0               
10                   0                    0                    388                  70                   0.0                  100                  388.0                70.0                
10                   0                    0                    710                  133                  0.001                100                  710.0                133.0               
10                   0                    0                    503                  132                  0.001                100                  503.0                132.0               
10                   0                    0                    619                  178                  0.002                100                  619.0                178.0               
10                   0                    0                    415                  99                   0.001                100                  415.0                99.0                
10                   0                    0                    415                  62                   0.0                  100                  415.0                62.0                
10                   0                    0                    726                  115                  0.001                100                  726.0                115.0               
10                   0                    0                    1176                 256                  0.002                100                  1176.0               256.0               
10                   0                    0                    651                  164                  0.001                100                  651.0                164.0               
