success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     number
      1          0               0         24        111      0.032           8.333         10
      1          0               0         52        347      0.238          15.673         20
      1          0               0         51        534      0.417          20.980         30
      1          0               0         72        665      1.415          22.139         40
      1          0               0         50        642      1.907          25.760         50
      1          0               0         44        637      2.323          29.886         60
      1          0               0         69        878      6.109          27.029         70
      1          0               0         82       1661     10.697          27.256         80
      1          0               0        101       1997     20.392          28.950         90
      1          0               0         95       2682     48.205          25.832        100
      1          0               0        102        377      0.124           8.833         10
      1          0               0         90        519      0.328          15.178         20
      1          0               0         93        887      0.753          19.699         30
      1          0               0         49        652      0.640          27.878         40
      1          0               0        106       1295      2.101          33.689         50
      1          0               0         91       1595      3.005          37.418         60
      1          0               0         88       1572      4.884          34.955         70
      1          0               0         94       1189      8.412          33.543         80
      1          0               0        106       1607     17.606          31.038         90
      1          0               0         35        737      8.266          28.657        100
      1          0               0         68        286      0.090           8.559         10
      1          0               0        110        592      0.424          14.700         20
      1          0               0        122       1036      0.877          22.934         30
      1          0               0         60        738      0.892          25.733         40
      1          0               0         86       1036      2.325          27.953         50
      1          0               0         68       1029      3.181          29.632         60
      1          0               0         71       1193      4.665          32.113         70
      1          0               0         56       1166      6.316          32.304         80
      1          0               0         57       1409      8.897          32.772         90
      1          0               0         89       1672     22.323          29.461        100
      1          0               0         71        254      0.087           9.366         10
      1          0               0         70        529      0.282          14.243         20
      1          0               0         96        930      0.729          22.281         30
      1          0               0         97        857      1.362          26.577         40
      1          0               0         67        841      1.884          26.552         50
      1          0               0         91       1161      3.694          30.209         60
      1          0               0         69       1062      5.524          28.029         70
      1          0               0         66       1301      8.860          27.758         80
      1          0               0         64       1620     13.682          25.156         90
      1          0               0         59       1517     19.314          24.932        100
      1          0               0         52        265      0.076           8.346         10
      1          0               0        106        728      0.443          15.736         20
      1          0               0        110        691      0.807          23.573         30
      1          0               0        118       1408      1.607          27.263         40
      1          0               0        108       1521      3.173          28.759         50
      1          0               0         89       1290      4.679          28.427         60
      1          0               0         80       1227      6.499          28.200         70
      1          0               0         71       1195     10.147          28.113         80
      1          0               0         85       1745     22.494          23.553         90
      1          0               0         71       1435     27.986          25.338        100
      1          0               0         94        541      0.130           8.223         10
      1          0               0         88        600      0.360          14.693         20
      1          0               0         81        648      0.717          19.235         30
      1          0               0         75        842      1.333          23.133         40
      1          0               0         68        786      1.834          27.338         50
      1          0               0         64        958      2.739          31.656         60
      1          0               0         40        564      2.745          31.400         70
      1          0               0         55        841      5.449          31.709         80
      1          0               0         58       1145      9.593          29.034         90
      1          0               0         29        603      7.517          25.828        100
